1,vodka
2,cranberry juice
3,orange juice
4,cointreau
5,kahlua
6,rum
7,coke
8,lime juice
9,baileys
10,vermouth
11,tonic water
12,gin
13,red bull
14,amaretto
15,trip sec
16,ginger beer
17,tequila
